Document name,Code,Begin,End
molly,Soldering\Station\On,00:02:07.7,00:05:00.7
molly,Soldering\Solderer\Waiting,00:02:08.4,00:02:13.9
molly,Soldering\Iron\Grab,00:02:14.0,00:02:17.4
molly,Soldering\Station\Clean\Probe,00:02:17.4,00:02:22.8
molly,Soldering\Solderer\Waiting,00:02:22.9,00:02:28.6
molly,Soldering\Station\Clean\Probe,00:02:28.7,00:02:29.3
molly,Soldering\Solder\Tin,00:02:29.3,00:02:38.0
molly,Soldering\Station\Heated,00:02:37.9,00:02:38.6
molly,Soldering\Iron\Solder Joint\RythmicJoint,00:02:38.1,00:03:06.1
molly,Soldering\Board\Reposition,00:03:06.1,00:03:09.9
molly,Soldering\Iron\Solder Joint\RythmicJoint,00:03:09.9,00:03:52.4
molly,Soldering\Station\Clean\Steel Wool,00:03:52.5,00:03:53.9
molly,Soldering\Station\Store,00:03:54.0,00:03:55.1
molly,Soldering\Hands\Reposition,00:03:55.0,00:03:56.4
molly,Soldering\Hands\Unsecure,00:03:56.5,00:04:00.1
molly,Soldering\Board\Flip,00:04:00.2,00:04:00.5
molly,Soldering\Solderer\Decision-Making\Inspect,00:04:00.6,00:04:10.0
molly,Soldering\Board\Flip,00:04:06.0,00:04:06.8
molly,Soldering\Hands\Secure,00:04:10.0,00:04:14.8
molly,Soldering\Iron\Grab,00:04:14.9,00:04:16.8
molly,Soldering\Station\Clean\Steel Wool,00:04:16.8,00:04:17.5
molly,Soldering\Iron\Retouch,00:04:17.5,00:04:38.1
molly,Soldering\Station\Clean\Steel Wool,00:04:38.1,00:04:39.2
molly,Soldering\Iron\Retouch,00:04:39.3,00:04:55.3
molly,Soldering\Station\Clean\Steel Wool,00:04:55.3,00:04:56.6
molly,Soldering\Station\Off,00:05:00.7,00:05:15.0
molly,Soldering\Hands\Unsecure,00:05:01.4,00:05:05.2
molly,Soldering\Solderer\Decision-Making\Inspect,00:05:05.3,00:05:12.4
molly,Soldering\Solderer\Decision-Making\Success,00:05:12.5,00:05:15.0
